movieTitle|Synopsis|Director|Casts|Status|Duration|totalSales|avgRating|Rating|Reviews
Ticket to Paradise|Academy Award winners George Clooney and Julia Roberts reunite on the big screen as exes who find themselves on a shared mission to stop their lovestruck daughter from making the same mistake they once made. From Working Title, Smokehouse Pictures and Red Om Films, Ticket to Paradise is a romantic comedy about the sweet surprise of second chances.|Ol Parker|George Clooney, Julia Roberts, Kaitlyn Dever, Billie Lourd, Maxime Bouttier|PREVIEW|2D|104|19|4.5|Worth the watch, Super funny,  Great acting for both leads, must watch|4,5,5,4
Dc League Of Super-Pets|In "DC League of Super-Pets," Krypto the Super-Dog and Superman are inseparable best friends, sharing the same superpowers and fighting crime in Metropolis side by side. When Superman and the rest of the Justice League are kidnapped, Krypto must convince a rag-tag shelter pack--Ace the hound, PB the potbellied pig, Merton the turtle and Chip the squirrel--to master their own newfound powers and help him rescue the superheroes.|Jared Stern|Dwayne Johnson, Kevin Hart, Kate McKinnon, John Krasinski, Vanessa Bayer, Natasha Lyonne, Diego Luna, Thomas Middleditch, Ben Schwartz, Keanu Reeves|SHOWING|Blockbuster|106|22|3.75|My kids love it, the pets are so cute!, Good movie for children, its an ok movie|5,4,3,3
Minions 2: The Rise Of Gru|From the biggest animated franchise in history and global cultural phenomenon comes the untold story of one 12-year-old’s dream to become the world’s greatest supervillain. In the 1970s, Gru (Steve Carell) is growing up in the suburbs. A fanboy of a supervillain supergroup known as the Vicious 6, Gru hatches a plan to become evil enough to join them, with the backup of his followers, the Minions. When the Vicious 6 oust their leader, Gru interviews to become their newest member. It doesn’t go well (to say the least), and Gru suddenly finds himself the mortal enemy of the apex of evil.|Kyle Balda|Steve Carell, Taraji P. Henson, Michelle Yeoh, Jean-Claude Van Damme, Lucy Lawless, Dolph Lundgren, Danny Trejo, Russell Brand, Julie Andrews, Alan Arkin|SHOWING|3D|87|101|4.75|Very entertaing, Enjoyed by all ages, Duration was just nice, Fun movie to watch|5,5,4,5
Stratton|After the death of his American counterpart, an MI6 agent and his team must race against time to stop a madman from unleashing stolen chemical weapons.|Simon West|Dominic Cooper, Connie Nielsen, Gemma Chan, Tyler Hoechlin|PREVIEW|2D|95|53|0.5|Trash movie, unimpressive set, low-budget feel, hated it|0,1,1,0
Top Gun: Maverick|After more than thirty years of service as one of the Navy's top aviators, Pete "Maverick" Mitchell (Tom Cruise) is where he belongs, pushing the envelope as a courageous test pilot and dodging the advancement in rank that would ground him. When he finds himself training a detachment of Top Gun graduates for a specialized mission the likes of which no living pilot has ever seen, Maverick encounters Lt. Bradley Bradshaw (Miles Teller), call sign "Rooster", the son of Maverick's late friend and Radar Intercept Officer Lt. Nick Bradshaw, aka "Goose". Facing an uncertainfuture and confronting the ghosts of his past, Maverick is drawn into a confrontation with his own deepest fears, culminating in a mission that demands the ultimate sacrifice from those who will be chosen to fly it.|Joseph Kosinski|Tom Cruise, Miles Teller, Jennifer Connelly, Jon Hamm, Glen Powell, Lewis Pullman, Ed Harris|PREVIEW|Blockbuster|131|20|4.75|Thrilling movie, I am addicted to this movie!, Awesome!! Breathtaking!!, Goosebumps hearing the engines|4,5,5,5
Smile 3|Empty|Parker Finnn|Sosie Bacon, Jessie T, Kyle Gallner|PREVIEW|3D|120.0|50.0|2.0|Good show, Wonderful, Meh, A scary movie. Horrible & terrible|5,4,2,0,1
ZhiYong Songka|Yonggy Tauu Fuuu|ZY Lee|Lee ZhiYong|ENDSHOW|2D|10.0|10.0|1.0|Poor|1,2,3,4
Parasite|Rich|Bjh|Psd|ENDSHOW|2D|120.0|3000.0|-1.0|4|3
Let It Go|Elsa hates the world|Idina Menzel|Demi Lovato|ENDSHOW|3D|120.0|20000.0|-1.0|i LOVE ELSA|3
Taxi Driver|Go Gwangju Uprising|Bong Joon Ho|Song Kang Ho|ENDSHOW|2D|120.0|1000.0|-1.0|DAEBAEK|2
SC2002 Project|Filled synopsis|Group 2|US|SHOWING|2D|120.0|1000.0|0.0|Good Movie|1,2,3
Movie movie|Bio|Director|Cast|ENDSHOW|3D|0.0|0.0|0.0|Good|1,2,3
